file_name,Frontchannel,Backchannel,Utterance,Verbal,Non_Verbal,Happy,Smile,Laugh,Confusion,Thinking,Surprised_Positive,Surprised_Negative,Head_Tilt,Head_Nodding,Head_shake,Agree,Disagree
P1_P2_1402_C2_001,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P1_P2_1402_C2_002,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
P1_P2_1402_C2_003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_P2_1402_C2_004,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
P1_P2_1402_C2_005,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
P1_P2_1402_C2_006,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
P1_P2_1402_C2_007,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1
P1_P2_1402_C2_008,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
P1_P2_1402_C2_009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_P2_1402_C2_010,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0
P1_P2_1402_C2_011,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
P1_P2_1402_C2_012,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0
P1_P2_1402_C2_013,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_P2_1402_C2_014,1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0
P1_P2_1402_C2_015,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
P1_P2_1402_C2_016,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0
P1_P2_1402_C2_017,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0
P1_P2_1402_C2_018,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
P1_P2_1402_C2_019,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
P1_P2_1402_C2_020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_P2_1402_C2_021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_P2_1402_C2_022,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_P2_1402_C2_023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P1_P2_1402_C2_024,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0
P1_P2_1402_C2_025,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0
